CPRO,CMUN,NOMBRE
02,0390,Higueruela
02,0404,Hoya-Gonzalo
02,0411,Jorquera
02,0426,Letur
02,0432,Lezuza
02,0447,Liétor
02,0450,Madrigueras
02,0463,Mahora
02,0479,Masegoso
02,0485,Minaya
02,0498,Molinicos
02,0501,Montalvos
02,0518,Montealegre del Castillo
02,0523,Motilleja
02,0539,Munera
02,0544,Navas de Jorquera
02,0557,Nerpio
02,0560,Ontur
02,0576,Ossa de Montiel
02,0582,Paterna del Madera
02,0609,Peñas de San Pedro
02,0595,Peñascosa
02,0616,Pétrola
02,0621,Povedilla
02,9010,Pozo Cañada
02,0637,Pozohondo
02,0642,Pozo-Lorente
02,0655,Pozuelo
02,0668,Recueja (La)
02,0674,Riópar
02,0680,Robledo
02,0693,Roda (La)
02,0707,Salobre
02,0714,San Pedro
02,0729,Socovos
02,0735,Tarazona de la Mancha
02,0740,Tobarra
02,0753,Valdeganga
02,0766,Vianos
02,0772,Villa de Ves
02,0788,Villalgordo del Júcar
02,0791,Villamalea
02,0805,Villapalacios
02,0812,Villarrobledo
02,0827,Villatoya
02,0833,Villavaliente
02,0848,Villaverde de Guadalimar
02,0851,Viveros
02,0864,Yeste
03,0015,Adsubia
03,0020,Agost
03,0036,Agres
03,0041,Aigües
03,0054,Albatera
03,0067,Alcalalí
03,0073,Alcocer de Planes
03,0089,Alcoleja
03,0092,Alcoy/Alcoi
03,0106,Alfafara
03,0113,Alfàs del Pi (l')
03,0128,Algorfa
03,0134,Algueña
03,0149,Alicante/Alacant
03,0152,Almoradí
03,0165,Almudaina
03,0171,Alqueria d'Asnar (l')
03,0187,Altea
03,0190,Aspe
03,0204,Balones
03,0211,Banyeres de Mariola
03,0226,Benasau
03,0232,Beneixama
03,0247,Benejúzar
03,0250,Benferri
03,0263,Beniarbeig
03,0279,Beniardá
03,0285,Beniarrés
03,0302,Benidoleig
03,0319,Benidorm
03,0324,Benifallim
03,0330,Benifato
03,0298,Benigembla
03,0345,Benijófar
03,0358,Benilloba
03,0361,Benillup
03,0377,Benimantell
03,0383,Benimarfull
03,0396,Benimassot
03,0400,Benimeli
03,0417,Benissa
03,0422,Benitachell/Poble Nou de Benitatxell (el)
03,0438,Biar
03,0443,Bigastro
03,0456,Bolulla
03,0469,Busot
03,0494,Callosa de Segura
03,0481,Callosa d'En Sarrià
03,0475,Calpe/Calp
03,0507,Campello (el)
03,0514,Campo de Mirra/Camp de Mirra (el)
03,0529,Cañada
03,0535,Castalla
03,0540,Castell de Castells
03,0759,Castell de Guadalest (el)
03,0553,Catral
03,0566,Cocentaina
03,0572,Confrides
03,0588,Cox
03,0591,Crevillent
03,0612,Daya Nueva
03,0627,Daya Vieja
03,0633,Dénia
03,0648,Dolores
03,0651,Elche/Elx
03,0664,Elda
03,0670,Facheca
03,0686,Famorca
03,0699,Finestrat
03,0778,Fondó de les Neus (el)
03,0703,Formentera del Segura
03,0725,Gaianes
03,0710,Gata de Gorgos
03,0731,Gorga
03,0746,Granja de Rocamora
03,0762,Guardamar del Segura
03,0784,Hondón de los Frailes
03,0797,Ibi
03,0801,Jacarilla
03,0818,Jalón/Xaló
03,0823,Jávea/Xàbia
03,0839,Jijona/Xixona
03,0857,Llíber
03,0844,Lorcha/Orxa (l')
03,0860,Millena
03,0882,Monforte del Cid
03,0895,Monóvar/Monòver
03,9037,Montesinos (Los)
03,0916,Murla
03,0921,Muro de Alcoy
03,0909,Mutxamel
03,0937,Novelda
03,0942,Nucia (la)
03,0955,Ondara
03,0968,Onil
03,0974,Orba
03,0993,Orihuela
03,0980,Orxeta
03,1007,Parcent
03,1014,Pedreguer
03,1029,Pego
03,1035,Penàguila
03,1040,Petrer
03,9021,Pilar de la Horadada
03,1053,Pinós (el)/Pinoso
03,1066,Planes
03,9016,Poblets (els)
03,1072,Polop
03,0605,Quatretondeta
03,1091,Rafal
03,1105,"Ràfol d'Almúnia, el"
03,1112,Redován
03,1127,Relleu
03,1133,Rojales
03,1148,Romana (la)
03,1151,Sagra
03,1164,Salinas
03,1186,San Fulgencio
03,9042,San Isidro
03,1203,San Miguel de Salinas
03,1225,San Vicente del Raspeig/Sant Vicent del Raspeig
03,1170,Sanet y Negrals
03,1199,Sant Joan d'Alacant
03,1210,Santa Pola
03,1231,Sax
03,1246,Sella
03,1259,Senija
03,1278,Tàrbena
03,1284,Teulada
03,1297,Tibi
03,1301,Tollos
03,1318,Tormos
03,1323,Torremanzanas/Torre de les Maçanes (la)
03,1339,Torrevieja
03,1344,Vall d'Alcalà (la)
03,1357,Vall de Ebo
03,1360,Vall de Gallinera
03,1376,Vall de Laguar (la)
03,1382,Verger (el)
03,1395,Villajoyosa/Vila Joiosa (la)
03,1409,Villena
04,0010,Abla
04,0025,Abrucena
04,0031,Adra
04,0046,Albánchez
04,0059,Alboloduy
04,0062,Albox
04,0078,Alcolea
04,0084,Alcóntar
04,0097,Alcudia de Monteagud
04,0101,Alhabia
04,0118,Alhama de Almería
04,0123,Alicún
04,0139,Almería
04,0144,Almócita
04,0157,Alsodux
04,0160,Antas
04,0176,Arboleas
04,0182,Armuña de Almanzora
04,0195,Bacares
04,0209,Bayárcal
04,0216,Bayarque
04,0221,Bédar
04,0237,Beires
04,0242,Benahadux
04,0268,Benitagla
04,0274,Benizalón
04,0280,Bentarique
04,0293,Berja
04,0307,Canjáyar
04,0314,Cantoria
04,0329,Carboneras
04,0335,Castro de Filabres
04,0366,Chercos
04,0372,Chirivel
04,0340,Cóbdar
04,0353,Cuevas del Almanzora
04,0388,Dalías
04,9026,Ejido (El)
04,0412,Enix
04,0433,Felix
04,0448,Fines
04,0451,Fiñana
04,0464,Fondón
04,0470,Gádor
04,0486,Gallardos (Los)
04,0499,Garrucha
04,0502,Gérgal
04,0519,Huécija
04,0524,Huércal de Almería
04,0530,Huércal-Overa
04,0545,Illar
04,0558,Instinción
04,0561,Laroya
04,0577,Láujar de Andarax
04,0583,Líjar
04,0596,Lubrín
04,0600,Lucainena de las Torres
04,0617,Lúcar
04,0622,Macael
04,0638,María
04,0643,Mojácar
04,9032,Mojonera (La)
04,0656,Nacimiento
04,0669,Níjar
04,0675,Ohanes
04,0681,Olula de Castro
04,0694,Olula del Río
04,0708,Oria
04,0715,Padules
04,0720,Partaloa
04,0736,Paterna del Río
04,0741,Pechina
04,0754,Pulpí
04,0767,Purchena
04,0773,Rágol
04,0789,Rioja
04,0792,Roquetas de Mar
04,0806,Santa Cruz de Marchena
04,0813,Santa Fe de Mondújar
04,0828,Senés
04,0834,Serón
04,0849,Sierro
04,0852,Somontín
04,0865,Sorbas
04,0871,Suflí
04,0887,Tabernas
04,0890,Taberno
04,0904,Tahal
04,0911,Terque
04,0926,Tíjola
04,9011,Tres Villas (Las)
04,0932,Turre
04,0947,Turrillas
04,0950,Uleila del Campo
04,0963,Urrácal
04,0979,Velefique
04,0985,Vélez-Blanco
04,0998,Vélez-Rubio
04,1002,Vera
04,1019,Viator
04,1024,Vícar
04,1030,Zurgena
05,0013,Adanero
05,0028,Adrada (La)
05,0052,Albornos
05,0071,Aldeanueva de Santa Cruz
05,0087,Aldeaseca
05,0104,Aldehuela (La)
05,0126,Amavida
05,0132,Arenal (El)
05,0147,Arenas de San Pedro
05,0150,Arevalillo
05,0163,Arévalo
05,0179,Aveinte
05,0185,Avellaneda
05,0198,Ávila
05,0219,Barco de Ávila (El)
05,0224,Barraco (El)
05,0230,Barromán
05,0245,Becedas
05,0258,Becedillas
05,0261,Bercial de Zapardiel
05,0277,Berlanas (Las)
05,0296,Bernuy-Zapardiel
05,0300,Berrocalejo de Aragona
05,0338,Blascomillán
05,0343,Blasconuño de Matacabras
05,0356,Blascosancho
05,0369,Bohodón (El)
05,0375,Bohoyo
05,0381,Bonilla de la Sierra
05,0394,Brabos
05,0408,Bularros
05,0415,Burgohondo
05,0420,Cabezas de Alambre
05,0436,Cabezas del Pozo
05,0441,Cabezas del Villar
05,0454,Cabizuela
05,0467,Canales
05,0473,Candeleda
05,0489,Cantiveros
05,0492,Cardeñosa
05,0512,Carrera (La)
05,0527,Casas del Puerto
05,0533,Casasola
05,0548,Casavieja
05,0551,Casillas
05,0564,Castellanos de Zapardiel
05,0570,Cebreros
05,0586,Cepeda la Mora
05,0678,Chamartín
05,0599,Cillán
05,0603,Cisla
05,0610,Colilla (La)
05,0625,Collado de Contreras
05,0631,Collado del Mirón
05,0646,Constanzana
05,0659,Crespos
05,0662,Cuevas del Valle
05,9035,Diego del Carpio
05,0697,Donjimeno
05,0701,Donvidas
05,0723,Espinosa de los Caballeros
05,0739,Flores de Ávila
05,0744,Fontiveros
05,0757,Fresnedilla
05,0760,Fresno (El)
05,0776,Fuente el Saúz
05,0782,Fuentes de Año
05,0795,Gallegos de Altamiros
05,0809,Gallegos de Sobrinos
05,0816,Garganta del Villar
05,0821,Gavilanes
05,0837,Gemuño
05,0855,Gil García
05,0842,Gilbuena
05,0868,Gimialcón
05,0874,Gotarrendura
05,0880,Grandes y San Martín
05,0893,Guisando
05,0907,Gutierre-Muñoz
05,0929,Hernansancho
05,0935,Herradón de Pinares
05,0940,Herreros de Suso
05,0953,Higuera de las Dueñas
05,0966,Hija de Dios (La)
05,0972,Horcajada (La)
05,0991,Horcajo de las Torres
05,1005,Hornillo (El)
05,1027,Hoyo de Pinares (El)
05,1012,Hoyocasero
05,1033,Hoyorredondo
05,1064,Hoyos de Miguel Muñoz
05,1048,Hoyos del Collado
05,1051,Hoyos del Espino
05,1070,Hurtumpascual
05,1086,Junciana
05,1099,Langa
05,1103,Lanzahíta
05,1131,Llanos de Tormes (Los)
05,1125,Losar del Barco (El)
05,1146,Madrigal de las Altas Torres
05,1159,Maello
05,1162,Malpartida de Corneja
05,1178,Mamblas
05,1184,Mancera de Arriba
05,1197,Manjabálago
05,1201,Marlín
05,1218,Martiherrero
05,1223,Martínez
05,1239,Mediana de Voltoya
05,1244,Medinilla
05,1257,Mengamuñoz
05,1260,Mesegar de Corneja
05,1276,Mijares
05,1282,Mingorría
05,1295,Mirón (El)
05,1309,Mironcillo
05,1316,Mirueña de los Infanzones
05,1321,Mombeltrán
05,1337,Monsalupe
05,1342,Moraleja de Matacabras
05,1355,Muñana
05,1368,Muñico
05,1380,Muñogalindo
05,1393,Muñogrande
05,1407,Muñomer del Peco
05,1414,Muñopepe
05,1429,Muñosancho
05,1435,Muñotello
05,1440,Narrillos del Álamo
05,1453,Narrillos del Rebollar
05,1491,Narros de Saldueña
05,1472,Narros del Castillo
05,1488,Narros del Puerto
05,1526,Nava de Arévalo
05,1532,Nava del Barco
05,1511,Navacepedilla de Corneja
05,1547,Navadijos
05,1550,Navaescurial
05,1563,Navahondilla
05,1579,Navalacruz
05,1585,Navalmoral
05,1598,Navalonguilla
05,1602,Navalosa
05,1619,Navalperal de Pinares
05,1624,Navalperal de Tormes
05,1630,Navaluenga
05,1645,Navaquesera
05,1658,Navarredonda de Gredos
05,1661,Navarredondilla
05,1677,Navarrevisca
05,1683,Navas del Marqués (Las)
05,1696,Navatalgordo
05,1700,Navatejares
05,1717,Neila de San Miguel
05,1722,Niharra
05,1738,Ojos-Albos
05,1743,Orbita
05,1756,Oso (El)
05,1769,Padiernos
05,1775,Pajares de Adaja
05,1781,Palacios de Goda
05,1794,Papatrigo
05,1808,Parral (El)
05,1815,Pascualcobo
05,1820,Pedro Bernardo
05,1836,Pedro-Rodríguez
05,1841,Peguerinos
05,1854,Peñalba de Ávila
05,1867,Piedrahíta
05,1873,Piedralaves
05,1889,Poveda
05,1892,Poyales del Hoyo
05,1906,Pozanco
05,1913,Pradosegar
05,1928,Puerto Castilla
05,1934,Rasueros
05,1949,Riocabado
05,1952,Riofrío
05,1965,Rivilla de Barajas
05,1971,Salobral
05,1987,Salvadiós
05,1990,San Bartolomé de Béjar
05,2004,San Bartolomé de Corneja
05,2011,San Bartolomé de Pinares
05,2063,San Esteban de los Patos
05,2085,San Esteban de Zapardiel
05,2079,San Esteban del Valle
05,2098,San García de Ingelmos
05,9014,San Juan de Gredos
05,2102,San Juan de la Encinilla
05,2119,San Juan de la Nava
05,2124,San Juan del Molinillo
05,2130,San Juan del Olmo
05,2145,San Lorenzo de Tormes
05,2158,San Martín de la Vega del Alberche
05,2161,San Martín del Pimpollar
05,2177,San Miguel de Corneja
05,2183,San Miguel de Serrezuela
05,2196,San Pascual
05,2200,San Pedro del Arroyo
05,2315,San Vicente de Arévalo
05,2047,Sanchidrián
05,2050,Sanchorreja
05,2222,Santa Cruz de Pinares
05,2217,Santa Cruz del Valle
05,2269,Santa María de los Caballeros
05,2243,Santa María del Arroyo
05,2256,Santa María del Berrocal
05,9029,Santa María del Cubillo
05,2275,Santa María del Tiétar
05,2281,Santiago del Collado
05,9040,Santiago del Tormes
05,2294,Santo Domingo de las Posadas
05,2308,Santo Tomé de Zabarcos
05,2320,Serrada (La)
05,2336,Serranillos
05,2341,Sigeres
05,2354,Sinlabajos
05,2367,Solana de Ávila
05,2373,Solana de Rioalmar
05,2389,Solosancho
05,2392,Sotalbo
05,2406,Sotillo de la Adrada
05,2413,Tiemblo (El)
05,2428,Tiñosillos
05,2434,Tolbaños
05,2449,Tormellas
05,2452,Tornadizos de Ávila
05,2471,Torre (La)
05,2465,Tórtoles
05,2490,Umbrías
05,2510,Vadillo de la Sierra
05,2525,Valdecasa
05,2531,Vega de Santa María
05,2546,Velayos
05,2562,Villaflor
05,2578,Villafranca de la Sierra
05,9053,Villanueva de Ávila
05,2584,Villanueva de Gómez
05,2597,Villanueva del Aceral
05,2601,Villanueva del Campillo
05,2618,Villar de Corneja
05,2623,Villarejo del Valle
05,2639,Villatoro
05,2644,Viñegra de Moraña
05,2657,Vita
05,2660,Zapardiel de la Cañada
05,2676,Zapardiel de la Ribera
06,0016,Acedera
06,0021,Aceuchal
06,0037,Ahillones
06,0042,Alange
06,0055,Albuera (La)
06,0068,Alburquerque
06,0074,Alconchel
06,0080,Alconera
06,0093,Aljucén
06,0107,Almendral
06,0114,Almendralejo
06,0129,Arroyo de San Serván
06,0135,Atalaya
06,0140,Azuaga
06,0153,Badajoz
06,0166,Barcarrota
06,0172,Baterno
06,0188,Benquerencia de la Serena
06,0191,Berlanga
06,0205,Bienvenida
06,0212,Bodonal de la Sierra
06,0227,Burguillos del Cerro
06,0233,Cabeza del Buey
06,0248,Cabeza la Vaca
06,0251,Calamonte
06,0264,Calera de León
06,0270,Calzadilla de los Barros
06,0286,Campanario
06,0299,Campillo de Llerena
06,0303,Capilla
06,0310,Carmonita
06,0325,Carrascalejo (El)
06,0331,Casas de Don Pedro
06,0346,Casas de Reina
06,0359,Castilblanco
06,0362,Castuera
06,0423,Cheles
06,0378,Codosera (La)
06,0384,Cordobilla de Lácara
06,0397,Coronada (La)
06,0401,Corte de Peleas
06,0418,Cristina
06,0439,Don Álvaro
06,0444,Don Benito
06,0457,Entrín Bajo
06,0460,Esparragalejo
06,0476,Esparragosa de la Serena
06,0482,Esparragosa de Lares
06,0495,Feria
06,0508,Fregenal de la Sierra
06,0515,Fuenlabrada de los Montes
06,0520,Fuente de Cantos
06,0536,Fuente del Arco
06,0541,Fuente del Maestre
06,0554,Fuentes de León
06,0567,Garbayuela
06,0573,Garlitos
06,0589,Garrovilla (La)
06,0592,Granja de Torrehermosa
06,0606,Guareña
06,0613,Haba (La)
06,0628,Helechosa de los Montes
06,0634,Herrera del Duque
06,0649,Higuera de la Serena
06,0652,Higuera de Llerena
06,0665,Higuera de Vargas
06,0671,Higuera la Real
06,0687,Hinojosa del Valle
06,0690,Hornachos
06,0704,Jerez de los Caballeros
06,0711,Lapa (La)
06,0732,Llera
06,0747,Llerena
06,0726,Lobón
06,0750,Magacela
06,0763,Maguilla
06,0779,Malcocinado
06,0785,Malpartida de la Serena
06,0798,Manchita
06,0802,Medellín
06,0819,Medina de las Torres
06,0824,Mengabril
06,0830,Mérida
06,0845,Mirandilla
06,0858,Monesterio
06,0861,Montemolín
06,0877,Monterrubio de la Serena
06,0883,Montijo
06,0896,Morera (La)
06,0900,Nava de Santiago (La)
06,0917,Navalvillar de Pela
06,0922,Nogales
06,0938,Oliva de la Frontera
06,0943,Oliva de Mérida
06,0956,Olivenza
06,0969,Orellana de la Sierra
06,0975,Orellana la Vieja
06,0981,Palomas
06,0994,Parra (La)
06,1008,Peñalsordo
06,1015,Peraleda del Zaucejo
06,1020,Puebla de Alcocer
06,1036,Puebla de la Calzada
06,1041,Puebla de la Reina
06,1073,Puebla de Obando
06,1089,Puebla de Sancho Pérez
06,1054,Puebla del Maestre
06,1067,Puebla del Prior
06,9022,Pueblonuevo del Guadiana
06,1092,Quintana de la Serena
06,1106,Reina
06,1113,Rena
06,1128,Retamal de Llerena
06,1134,Ribera del Fresno
06,1149,Risco
06,1152,Roca de la Sierra (La)
06,1165,Salvaleón
06,1171,Salvatierra de los Barros
06,1190,San Pedro de Mérida
06,1232,San Vicente de Alcántara
06,1187,Sancti-Spíritus
06,1204,Santa Amalia
06,1211,Santa Marta
06,1226,Santos de Maimona (Los)
06,1247,Segura de León
06,1250,Siruela
06,1263,Solana de los Barros
06,1279,Talarrubias
06,1285,Talavera la Real
06,1298,Táliga
06,1302,Tamurejo
06,1319,Torre de Miguel Sesmero
06,1324,Torremayor
06,1330,Torremejía
06,1345,Trasierra
06,1358,Trujillanos
06,1361,Usagre
06,1377,Valdecaballeros
06,9017,Valdelacalzada
06,1383,Valdetorres
06,1396,Valencia de las Torres
06,1400,Valencia del Mombuey
06,1417,Valencia del Ventoso
06,1469,Valle de la Serena
06,1475,Valle de Matamoros
06,1481,Valle de Santa Ana
06,1422,Valverde de Burguillos
06,1438,Valverde de Leganés
06,1443,Valverde de Llerena
06,1456,Valverde de Mérida
06,1494,Villafranca de los Barros
06,1507,Villagarcía de la Torre
06,1514,Villagonzalo
06,1529,Villalba de los Barros
06,1535,Villanueva de la Serena
06,1540,Villanueva del Fresno
06,1566,Villar de Rena
06,1553,Villar del Rey
06,1572,Villarta de los Montes
06,1588,Zafra
06,1591,Zahínos
06,1605,Zalamea de la Serena
06,1627,Zarza (La)
06,1612,Zarza-Capilla
07,0027,Alaior
07,0012,Alaró
07,0033,Alcúdia
07,0048,Algaida
07,0051,Andratx
07,9013,Ariany
07,0064,Artà
07,0070,Banyalbufar
07,0086,Binissalem
07,0099,Búger
07,0103,Bunyola
07,0110,Calvià
07,0125,Campanet
07,0131,Campos
07,0146,Capdepera
07,0645,Castell (Es)
07,0159,Ciutadella de Menorca
07,0162,Consell
07,0178,Costitx
07,0184,Deyá
07,0260,Eivissa
07,0197,Escorca
07,0201,Esporles
07,0218,Estellencs
07,0223,Felanitx
07,0239,Ferreries
07,0244,Formentera
07,0257,Fornalutx
07,0276,Inca
07,0282,Lloret de Vistalegre
07,0295,Lloseta
07,0309,Llubí
07,0316,Llucmajor
07,0337,Manacor
07,0342,Mancor de la Vall
07,0321,Maó
07,0355,Maria de la Salut
07,0368,Marratxí
07,0374,Mercadal (Es)
07,9028,Migjorn Gran (Es)
07,0380,Montuïri
07,0393,Muro
07,0407,Palma de Mallorca
07,0414,Petra
07,0440,Pobla (Sa)
07,0429,Pollença
07,0435,Porreres
07,0453,Puigpunyent
07,0598,Salines (Ses)
07,0466,Sant Antoni de Portmany
07,0491,Sant Joan
07,0504,Sant Joan de Labritja
07,0488,Sant Josep de sa Talaia
07,0511,Sant Llorenç des Cardassar
07,0526,Sant Lluís
07,0532,Santa Eugènia
07,0547,Santa Eulalia del Río
07,0550,Santa Margalida
07,0563,Santa María del Camí
07,0579,Santanyí
07,0585,Selva
07,0472,Sencelles
07,0602,Sineu
07,0619,Sóller
07,0624,Son Servera
07,0630,Valldemossa
07,0658,Vilafranca de Bonany
08,0018,Abrera
08,0023,Aguilar de Segarra
08,0142,Aiguafreda
08,0039,Alella
08,0044,Alpens
08,0057,Ametlla del Vallès (L')
08,0060,Arenys de Mar
08,0076,Arenys de Munt
08,0082,Argençola
08,0095,Argentona
08,0109,Artés
08,0116,Avià
08,0121,Avinyó
08,0137,Avinyonet del Penedès
08,0155,Badalona
08,9045,Badia del Vallès
08,0168,Bagà
08,0174,Balenyà
08,0180,Balsareny
08,2520,Barberà del Vallès
08,0193,Barcelona
08,0207,Begues
08,0214,Bellprat
08,0229,Berga
08,0235,Bigues i Riells
08,0240,Borredà
08,0253,Bruc (El)
08,0266,Brull (El)
08,0272,Cabanyes (Les)
08,0291,Cabrera de Mar
08,0288,Cabrera d'Igualada
08,0305,Cabrils
08,0312,Calaf
08,0348,Calders
08,0333,Caldes de Montbui
08,0327,Caldes d'Estrac
08,0351,Calella
08,0370,Calldetenes
08,0386,Callús
08,0364,Calonge de Segarra
08,0399,Campins
08,0403,Canet de Mar
08,0410,Canovelles
08,0425,Cànoves i Samalús
08,0431,Canyelles
08,0446,Capellades
08,0459,Capolat
08,0462,Cardedeu
08,0478,Cardona
08,0484,Carme
08,0497,Casserres
08,0575,Castell de l'Areny
08,0522,Castellar de n'Hug
08,0500,Castellar del Riu
08,0517,Castellar del Vallès
08,0538,Castellbell i el Vilar
08,0543,Castellbisbal
08,0556,Castellcir
08,0569,Castelldefels
08,0581,Castellet i la Gornal
08,0608,Castellfollit de Riubregós
08,0594,Castellfollit del Boix
08,0615,Castellgalí
08,0620,Castellnou de Bages
08,0636,Castellolí
08,0641,Castellterçol
08,0654,Castellví de la Marca
08,0667,Castellví de Rosanes
08,0673,Centelles
08,2687,Cercs
08,2665,Cerdanyola del Vallès
08,0689,Cervelló
08,0692,Collbató
08,0706,Collsuspina
08,0713,Copons
08,0728,Corbera de Llobregat
08,0734,Cornellà de Llobregat
08,0749,Cubelles
08,0752,Dosrius
08,0765,Esparreguera
08,0771,Esplugues de Llobregat
08,0787,Espunyola (L')
08,0790,Estany (L')
08,1347,Figaró-Montmany
08,0804,Fígols
08,0826,Fogars de la Selva
08,0811,Fogars de Montclús
08,0832,Folgueroles
08,0847,Fonollosa
08,0850,Font-rubí
08,0863,Franqueses del Vallès (Les)
08,0902,Gaià
08,0879,Gallifa
08,0885,Garriga (La)
08,0898,Gavà
08,0919,Gelida
08,0924,Gironella
08,0930,Gisclareny
08,0945,Granada (La)
08,0958,Granera
08,0961,Granollers
08,0977,Gualba
08,0996,Guardiola de Berguedà
08,1000,Gurb
08,1017,Hospitalet de Llobregat (L')
08,1629,Hostalets de Pierola (Els)
08,1022,Igualada
08,1038,Jorba
08,1043,Llacuna (La)
08,1056,Llagosta (La)
08,1075,Lliçà d'Amunt
08,1081,Lliçà de Vall
08,1069,Llinars del Vallès
08,1094,Lluçà
08,1108,Malgrat de Mar
08,1115,Malla
08,1120,Manlleu
08,1136,Manresa
08,2423,Marganell
08,1141,Martorell
08,1154,Martorelles
08,1167,Masies de Roda (Les)
08,1173,Masies de Voltregà (Les)
08,1189,Masnou (El)
08,1192,Masquefa
08,1206,Matadepera
08,1213,Mataró
08,1228,Mediona
08,1385,Moià
08,1234,Molins de Rei
08,1249,Mollet del Vallès
08,1287,Monistrol de Calders
08,1271,Monistrol de Montserrat
08,1252,Montcada i Reixac
08,1304,Montclar
08,1311,Montesquiu
08,1265,Montgat
08,1326,Montmajor
08,1332,Montmaneu
08,1350,Montmeló
08,1363,Montornès del Vallès
08,1379,Montseny
08,1290,Muntanyola
08,1398,Mura
08,1402,Navarcles
08,1419,Navàs
08,1424,Nou de Berguedà (La)
08,1430,Òdena
08,1458,Olèrdola
08,1461,Olesa de Bonesvalls
08,1477,Olesa de Montserrat
08,1483,Olivella
08,1496,Olost
08,1445,Olvan
08,1509,Orís
08,1516,Oristà
08,1521,Orpí
08,1537,Òrrius
08,1542,Pacs del Penedès
08,1555,Palafolls
08,1568,Palau-solità i Plegamans
08,1574,Pallejà
08,9058,Palma de Cervelló (La)
08,1580,Papiol (El)
08,1593,Parets del Vallès
08,1607,Perafita
08,1614,Piera
08,1635,Pineda de Mar
08,1640,Pla del Penedès (El)
08,1653,Pobla de Claramunt (La)
08,1666,Pobla de Lillet (La)
08,1672,Polinyà
08,1825,Pont de Vilomara i Rocafort (El)
08,1688,Pontons
08,1691,Prat de Llobregat (El)
08,1712,Prats de Lluçanès
08,1705,Prats de Rei (Els)
08,2303,Premià de Dalt
08,1727,Premià de Mar
08,1748,Puigdàlber
08,1751,Puig-reig
08,1764,Pujalt
08,1770,Quar (La)
08,1786,Rajadell
08,1799,Rellinars
08,1803,Ripollet
08,1810,Roca del Vallès (La)
08,1831,Roda de Ter
08,1846,Rubí
08,1859,Rubió
08,9019,Rupit i Pruit
08,1878,Sabadell
08,1884,Sagàs
08,1901,Saldes
08,1918,Sallent
08,1944,Sant Adrià de Besòs
08,1957,Sant Agustí de Lluçanès
08,1960,Sant Andreu de la Barca
08,1976,Sant Andreu de Llavaneres
08,1982,Sant Antoni de Vilamajor
08,1995,Sant Bartomeu del Grau
08,2009,Sant Boi de Llobregat
08,2016,Sant Boi de Lluçanès
08,2037,Sant Cebrià de Vallalta
08,2021,Sant Celoni
08,2042,Sant Climent de Llobregat
08,2055,Sant Cugat del Vallès
08,2068,Sant Cugat Sesgarrigues
08,2074,Sant Esteve de Palautordera
08,2080,Sant Esteve Sesrovires
08,2107,Sant Feliu de Codines
08,2114,Sant Feliu de Llobregat
08,2129,Sant Feliu Sasserra
08,2093,Sant Fost de Campsentelles
08,2135,Sant Fruitós de Bages
